10.83114	0.80027	0.96963	1.10548	1.14612
2.23506	0.69488	0.78363	0.90662	0.90695
1.72217	0.73978	0.81815	0.89147	0.90081
1.36357	0.70062	0.74308	0.80489	0.81182
1.14351	0.68177	0.70134	0.73303	0.73986
0.97342	0.65554	0.65733	0.66128	0.66852
0.88078	0.68991	0.68545	0.67851	0.68556
0.85193	0.66268	0.65432	0.65013	0.6528
0.81188	0.6526	0.6423	0.63939	0.64408
0.81299	0.65285	0.63676	0.63767	0.63892
0.80375	0.66257	0.64913	0.64442	0.64834
0.79396	0.69496	0.6877	0.68561	0.68999
0.78741	0.69108	0.67757	0.6757	0.67844
0.77852	0.67184	0.6543	0.65647	0.65472
0.76756	0.71987	0.70471	0.70067	0.7013
0.75894	0.65601	0.64566	0.6441	0.64749
0.74891	0.65166	0.63188	0.6372	0.63495
0.73736	0.71736	0.69424	0.69695	0.6951
0.72499	0.66368	0.63974	0.64104	0.63888
0.72432	0.67631	0.66289	0.66058	0.66449
0.68973	0.67688	0.6622	0.66217	0.66096
0.6859	0.71286	0.68447	0.69371	0.68523
0.67288	0.70249	0.67949	0.68203	0.68054
0.65994	0.70244	0.68499	0.68475	0.68924
0.63522	0.6644	0.64337	0.64707	0.64424
0.62904	0.65519	0.62848	0.63286	0.62779
0.60563	0.69091	0.67171	0.67158	0.67242
0.59976	0.71583	0.69225	0.69805	0.69074
0.5878	0.70655	0.68393	0.68675	0.68324
0.55359	0.63875	0.62283	0.62761	0.62401
0.5515	0.65624	0.64004	0.64187	0.63837
0.54271	0.70808	0.69555	0.69652	0.6904
0.51943	0.68521	0.66939	0.66893	0.66558
0.50878	0.61083	0.60143	0.6007	0.59909
0.50995	0.65918	0.64367	0.64516	0.6409
0.50469	0.63028	0.62623	0.62191	0.62075
0.48874	0.6544	0.64781	0.64495	0.64145
0.48232	0.68082	0.66552	0.66268	0.65733
0.46421	0.61023	0.60004	0.59765	0.59495
0.45871	0.62874	0.62414	0.6172	0.61545
0.45725	0.61972	0.61758	0.61209	0.60982
0.44562	0.64263	0.63329	0.62801	0.62372
0.43509	0.60057	0.59808	0.59179	0.59047
0.43338	0.63671	0.62875	0.62098	0.61765
0.42934	0.6361	0.62916	0.62073	0.61652
0.41183	0.58607	0.58218	0.57393	0.57219
0.41436	0.63429	0.62585	0.61563	0.61078
0.39889	0.59161	0.5846	0.57737	0.57424
0.3973	0.64259	0.63653	0.62495	0.61963
0.39403	0.57147	0.56675	0.56024	0.55859
0.38096	0.59871	0.58376	0.57517	0.57168
